siman,seif,text
8,14,"ואם פשט טליתו אפילו היה דעתו לחזור ולהתעטף בו מיד, צריך לברך כשיחזור ויתעטף בו ויש אומרים שאין מברכין אם היה דעתו לחזור ולהתעטף בו ויש אומרים דווקא כשנשאר עליו טלית קטן והכי נוהגין"
8,15,"אם נופלה טליתו שלא במתכוון וחוזר ומתעטף, צריך לברך, והוא שנפלה כולה. אבל אם לא נופלה כולה, אף על פי שנפלה רובה אין צריך לברך."
8,16,"הלן בטליתו בלילה צריך לברך עליו בבוקר, אף אם לא פשטו, וטוב למשמש בו בשעת ברכה"
8,17,"נתכסה בבגד שהוא חייב בציצית, ולא הטיל בו ציצית בטל מצוות עשה"
9,1,"אין חייב בציצית מן התורה אלא בגד פשתים או של צמר רחלים, אבל בגדי שאר מינים אין חייבים בציצית אלא מדרבנן"
9,2,"ציצית של פשתים או של צמר רחלים פוטרים בכל מיני בגדים, חוץ משל פשתים לצמר, או של צמר לפשתים בזמן הזה דליכא תכלת, מפני שהם כלאיים ויש אומרים שלא לעשות ציצית של פשתים כלל אפילו בשאר מינים והכי נהוג"
9,3,"ציצית של שאר מינים אין פוטרים אלא במינם, כגון: משי לבגד משי, וצמר גפן לצמר גפן, אבל שלא במינם אין פוטרין."
9,4,"אם הטיל בטלית של שאר מינים קצת ציציות ממינו, וקצת מצמר או פשתים, יש להסתפק בו."
9,5,יש אומרים שצריך לעשות הציציות מצבע הטלית והמדקדקים נוהגים כן והאשכנזים אין נוהגים לעשות הציציות רק לבנים אף בבגדים צבועים ואין לשנות
9,6,"יש אומרים שאין לעשות טלית של פשתן, אף על פי שאין הלכה כן ירא שמים יצא את כולם, ועושה טלית של צמר רחלים שהוא חייב בציצית מן התורה בלי פקפוק ומיהו אם אי אפשר רק בטלית של פשתן מוטב שיעשה טלית של פשתן וציצית של פשתן משיתבטל ממצוות ציצית"
10,1,"טלית שאין לה ארבע כנפות פטורה, יש לה יותר מארבע חייבת, ועושה לה ארבע ציציות בארבע כנפיה המרוחקות זו מזו יותר."
10,2,"יש לה ארבע, וחתך אחד באלכסון, ועשהו שניים, הרי נעשית בעלת אלוהים וחייבת."
10,3,"כפל קרנות טליתו וקשרם, או תפרם ודומה כאילו קצען, ואין לה כנפות, אף על פי כן לא נפטרה."
10,4,"טלית של בגד וכנפיה של עור, חייבת. היא של עור וכנפיה של בגד, פטורה."
10,5,"היו לה שלוש כנפות ועשה בהם שלוש ציציות, ושוב עשה לה כנף ד', ועשה גם בו ציצית פסולה משום תעשה, ולא מן העשוי."
10,6,"אין כופלין את הטלית ומטילים ציצית על כנפיה כמו שהיא כפולה אלא אם כן תפרה כולה, ואפילו מרוח אחת: הטיל ציצית על ציצית, אם נתכוון לבטל הראשונה חותך הראשונה וכשרה, ואם נתכוון להוסיף, אף על פי שחתך אחת משתיהן, פסולה אבל צריך להטיל בד' כנפיה הפשוטים ויש אומרים דחייבין אפילו בלא תפירה וטוב לעשות לה ציצית אבל לא לברך עליה ויש מכשירים בכל ענין וכן עקר וקודם שחתך הראשונות פסול בכל ענין"
10,7,"מלבושים שהם פתוחים מן הצדדין למטה ויש להם ארבע כנפות לצד מטה ולמעלה הם סתומים, אם רובו סתום, פטור, ואם רובו פתוח, חייב. ואם חציו סתום וחציו פתוח מטילין אותו לחומרא, וחייב בציצית, ואין יוצאין בו בשבת."
10,8,"קאפ""ה שהיא פתוחה בענין שיש לה ארבע כנפות, אם יקבעו בה אשטרינג""ה לעשותה כסתומה כדי לפוטרה מציצית אינו מועיל תקון זה, אם לא תהיה קבוע מחצי אורכה למטה לכל הפחות, וגם שתהיה קבוע למטה מהחגור למען יהיה הרוב הסתום רוב הנראה לעיניים, דאלמלא כן יאסר משום מראית העין."
10,9,"הכנפיים צריך שיהיו מרובעות, ולא שיהיו עגולות."
10,10,"מצנפת פטורה, אפילו של ארצות המערב שב' ראשיה מושלכים על כתפיהם וגופם, ואף על פי שמתכסה בה ראשו ורובו פטור, כיוון שעיקרה לכסות הראש, דכסותך אמר רחמנא ולא כסות הראש."
10,11,"סודר שנותנין על הצוואר במלכות ארץ ישראל שנקרא בערבי שי""ד וכן ביק "" א שהיו נותנין בספרד על כתפיהם פטורים."
10,12,"מלבושים שבמצריים הנקראים גוחאש וכן מינטיניש ודולאמאניש וקפטאניש ופיריגיש שבתוגרמה, אף על פי שיש להם ד' כנפיים פטורים והוא הדין מלבושים של גלילות בני אשכנז וספרד הואיל ואין כנפיהם עשוין שיהיו ב' לפניהם וב' לאחוריהם מכוונים זו כנגד זו פטורים"
11,1,"החוטין צריך שיהיו טווין לשמן: שיאמר בתחילת הטווייה שהוא עושה כן לשם ציצית, או שיאמר לאישה טווי לי ציצית לטלית, ואם לא היו טווין לשמן פסולים. ויש מחמירין אפילו לנפצן לשמן והמנהג להקל בניפוץ"
11,2,"טוואן גוי וישראל עומד על גבו ואמר שיעשה לשמה, להרמב""ם פסול להרא""ש כשר: וצריכין שזירה ושיהיו שזורין לשמן. ונוהגין שיסייע הישראל מעט וכדאיתא"
11,3,"אם נתפרקו משזירתן ונעשו שישה עשר כשרים, והוא שישתייר בשיזור כדי עניבה ולכתחילה טוב לקשור החוטין למטה"
11,4,"אורך החוטים השמונה אין פחות מארבע גודלים, ויש אומרים שנים עשר גודלים, וכן נוהגין. ולמעלה אין להם שעור: אחד מהחוטים יהיה יותר ארוך, כדי שיכרוך בו הגדיל ואם עשאו ארוך יותר מדאי יכול לקצרו ואין בזה משום תעשה ולא מן העשוי ושעור הנזכר יהיה בציצית לאחר שנקשר מלבד מה שמונח על קרן הבגד"
11,5,"אין עושין הציציות מהצמר הנאחז בקוצים כשהצאן רובצים ביניהם, ולא מהנימין הנתלשים מהבהמה, ולא משיורי שתי שהאורג משיר בסוף הבגד, והטעם משום בזוי מצווה."
11,6,"אם עשאם מצמר גזול פסולים, דכתיב ועשו להם, משלהם ודווקא שגזל החוטין אבל אם גזל צמר, ועשאן חוטים כשרים, מיהו לכתחילה אסור לעשותן ולענין ברכה תרמ""ט"
11,7,חוטים שאולין הלוואה היא דלא הדרי בעיניהו וכדידיה דמי.
11,8,"המשתחווה לבהמה, צמרה פסול לציצית, המשתחווה לפשתן נטוע, כשר לציצית שהרי נשתנה."
11,9,"יעשה נקב באורך הטלית לא למעלה משלוש אצבעות מפני שאינו נקרא כנף, ולא למטה מכשעור שיש מקשר גודל עד סוף הציפורן, משום שנאמר על הכנף ואם היה למטה ממלא קשר גודל, היה תחת הכנף ומודדין זה ביושר ולא באלכסון מן הקרן"
11,10,"אם היה רחוק מהכנף מלא קשר גודל וניתקו מחוטי הערב עד שלא נשאר בו כשעור כשר, כיוון שהיו בו כשעור בשעה שהטיל בו ציצית זה: יש אומרים שבתוך רוחב הבגד אין לו שעור, ויש אומרים שדין רוחב הבגד כדין האורך, ונראין דבריהם. ונוהגין לעשות אימרא סביב הנקב שלא ינתק שם ויהיה פחות מכשעור וכן עושין אמרא בשפת הבגד למטה מהאי טעמא"
11,11,"אם הגדיל שקורין אוריליי""ו הוא רחב לא יטיל בו הציציות. ואם הטיל בו, פסול, דעל כנפי בגדיהם כתיב, וזה אינו נחשב מהבגד, אבל עולה הוא לשעור מלא קשר גודל ולהרחקת שלוש אצבעות כיוון שהנקב בתוך הבגד וטוב שימדוד שעור קשר גודל בלא הגדיל ויהיה תוך שלוש אצבעות עם הגדיל"
11,12,"מנין חוטי הציציות בכל כנף ארבעה כפולים שהם שמונה, ואם הוסיף פסול. יחתוך ראשי החוטין הארבעה, ויתחבם בכנף, ויכפלם ואז יהיו ח'."
11,13,"יזהר לחתוך ראשי החוטין לעשותם ח' קודם שיכרוך, שאם כרך אפילו חוליא אחת וקשר אפילו קשר אחד, ואחר כך חתכן פסול, משום תעשה ולא מן העשוי, שהרי בפסול עשאם."
11,14,"יקח ד' חוטים מצד זה וד' מצד זה ויקשור שני פעמים זה על גב זה, ואחר כך יכרוך חוט הארוך סביב השבעה קצת כריכות, וקושר שני פעמים זה על גב זה וחוזר וכורך, וכן יעשה עד שישלים לחמישה קשרים כפולים וארבעה אווירים ביניהם מלאים כריכות, אין שעור לכריכות, רק שיהיה כל הכרוך והקשרים רוחב ארבעה גודלים, והענף שמונה גודלים: נוהגים לכרוך באוויר ראשון ז' כריכות, ובשני ט', ובשלישי י"" א, וברביעי שלושה עשר, שעולים כולם ארבעים כמנין ה' אחד, שעולים שלושים תשעה ועם השם הם ארבעים. נהגו לעשות בסוף כל חוט קשר כדי שיעמוד בשזירתו. ואם האריך הציצית יראה ששלישיתו יהיה גדיל וב' חלקים ענף"
11,15,"יש אומרים שצריך לדקדק שיתלה הציצית לאורך הטלית דבעינן שתהא נוטפות על הקרן פרוש תלוי על הקרן, ואם היה ברוחבו לא היה נוטף שהרי כלפי קרקע היה תלוי. יש אומרים שאין לתת שום בגד בנקבי הטלית שמכניסים בהם הציציות, ויש מתירין, וכן נהגו"
12,1,"אם נפסקו כל חוטי הכנף ונשתייר בהם כדי עניבת כל החוטים הפסוקים ביחד כשר, ואם לא נשאר כדי עניבה אפילו בחוט אחד שנפסק כולו פסול, הלכך כיוון שכל אחד כפול לשניים אם נפסקו שני ראשים פסול, שמא נפסק חוט אחד. ולפי מה שאנו נוהגים לדקדק בעת עשיית הציצית לתת סימן בד' ראשים בענין שלעולם הד' ראשים הם מצד אחד של הקשר, והד' ראשים מצד האחר, אם נפסקו שני ראשים מצד אחד כשר, דוודאי שני חוטין הם והרי נשתייר מכל אחד הראש השני שהוא יותר מכדי עניבה. ולרבנו תם לא מכשירים אלא בנשתיירו ב' חוטין שלמים, דהינו ארבע ראשים שכל אחד מהראשים ארוך שנים עשר גודלים אז מכשירים כשנתפסקו השני חוטין אחרים אם נשתייר בהם כדי עניבה, אבל אם נפסקו ג' חוטין, אף על פי שנשתייר בהם כדי עניבה פסולים. ומיפני כך כשנחתכו ג' ראשים אם לא דקדק בעת עשיית הציצית שיהיו גוים הד' ראשים שמיצד אחד של הקשר חיישינן שמא כל ראש הוא מחוט אחד, ונמצא שאין כאן אלא חוט אחד שלם, הלכך מספקא פסול: אבל אם לא נחתכו אלא ב' ראשים מכשרינן בכדי עניבה, והלכה כסברא ראשונה מיהו היכא דאפשר טוב לחוש לסברת רבנו תם וכל שכן אם דקדק שיהיו נכרין הד' ראשים שבצד אחד ונפסקו ג' ראשים בצד אחד דפסולה דאז ודאי נפסקו ג' חוטין ואם נפסקו בב' צדדין נמי פסול שמא שלושה חוטין הם ונוהגין כרבנו תם"
12,2,"היכא דצריך כדי עניבה ומיתוך שהחוטים עבים אינו יכול לעונבם, ואילו היו דקים היה בהם כדי עניבה כשר ומשערין בחוטין בינונים"
12,3,"כדי עניבה לרש""י מן הענף, ולר""י אפילו נחתך כל הענף ולא נשאר כדי עניבה אלא מן הגדיל כשר, ומנהג העולם כרש""י והיכא דלא אפשר יש לסמוך על ר""י"
587,1,"התוקע בתוך הבור או בתוך המערה, אותם העומדים בתוך הבור והמערה יוצאו; והעומדים בחוץ, אם קול שופר שמעו, יוצאו, ואם קול הברה שמעו, לא יוצאו; וכן התוקע לתוך חבית גדולה וכיוצא בה, אם קול שופר שמע, יצא, ואם קול הברה שמע, לא יצא."
587,2,"אם התחיל לתקע בבור ועלה חוץ לבור וגמרה, יצא, שכל מה ששמע בין בפנים בין בחוץ היה קול שופר. וכן אותם שהיו בבור בתחילת התקיעה"
587,3,"השומע מקצת תקיעה שלא בחיוב, ומקצתה בחיוב; או שאמר לתוקע כמתעסק: כוון להוציאני ידי חובתי, ותקע ומשך בה שעור תקיעה, לא יצא; ויש אומרים שיצא אי איכא שעור תקיעה בחיוב; והוא הדין אם שמע מקצת התקיעה קול הברה, כגון שהיה התוקע בבור והוא עומד בחוץ ובאמצע התקיעה יצא לחוץ"
588,1,"זמן תקיעת שופר ביום ולא בלילה; ומצוותה משעת הנץ החמה ואילך, ואם תקע משעלה עמוד השחר יצא. ואם שמע מקצת תקיעה קודם שעלה עמוד השחר, ומקצתה אחרי שעלה עמוד השחר, לא יצא. ואם היה שעור תקיעה במה ששמע ביום, נתבאר בסימן תקפ""ז ג'."
588,2,"שמע ט' תקיעות בט' שעות ביום, יצא ואפילו הם מט' בני אדם תקיעה מזה ותרועה מזה ותקיעה מזה; ויש אומרים דדווקא בשלא הפסיק ביניהם בקול שופר שאינו ראוי באותה בבא."
588,3,"שמע ט' תקיעות מט' בני אדם שתקעו כולם כאחד, לא יצא, שאין כאן פשוטה לפניה ופשוטה לאחריה. ואם שניים תקעו כאחד כל הסדר, ואפילו אחד תקע בחצוצרות, יצא דיהיב דעתיה על השופר"
588,4,"היה זה צריך פשוטה ראשונה וזה צריך פשוטה אחרונה, תקיעה אחת מוציאה את שניהם."
588,5,"יום טוב של ראש השנה שחל להיות בשבת אין תוקעין בשופר. ואסור לטלטלו, אם לא לצורך גופו ומקומו"
589,1,כל שאינו מחוייב בדבר אינו מוציא אחרים ידי חובתן.
